Title,Price (Rp)
"Rogue Legacy 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","349,000"
"Inscryption (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","279,000"
Deus Ex: Mankind Divided (Game),"102,000"
"Killing Floor 2 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","429,000"
"Lonely Mountains: Downhill (Simplified Chinese, English, Korean, Japanese)","279,000"
"Ratchet & Clank: Rift Apart (Simplified Chinese, English, Korean, Traditional Chinese)","1,029,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","579,000"
"Horizon Forbidden West™ (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","729,000"
"Hundred Days - Winemaking Simulator (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","429,000"
"Carto (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","279,000"
"Dodgeball Academia (Simplified Chinese, English, Japanese)","349,000"
"The Wild at Heart (Simplified Chinese, English, Korean, Japanese)","349,000"
Thief (Game),"52,350"
"MX vs ATV Legends (Simplified Chinese, English, Korean, Japanese)","318,450"
"HUMANITY (English, Japanese)","429,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","749,000"
"Watch Dogs: Legion PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","112,350"
"UNCHARTED: Legacy of Thieves Collection (Simplified Chinese, English, Korean, Traditional Chinese)","729,000"
"ELEX II PS4 & PS5 (Simplified Chinese, English, Japanese)","373,050"
"Conan Exiles (Simplified Chinese, English, Korean)","699,000"
"Kena: Bridge of Spirits PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","579,000"
Dishonored 2 (English/Chinese Ver.),"85,800"
TOMB RAIDER DEFINITIVE EDITION full game (English/Chinese/Korean Ver.),"74,750"
"DOOM Eternal Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","532,000"
"Riders Republic PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","589,000"
Wolfenstein® II: The New Colossus™ (English/Chinese Ver.),"532,000"
"Tchia (PS4 & PS5) (Simplified Chinese, English, Korean, Japanese)","278,850"
The Evil Within 2 (English/Chinese/Korean Ver.),"532,000"
Dishonored®: Death of the Outsider™ (English/Chinese Ver.),"370,000"
Wolfenstein: Youngblood (English/Chinese/Korean Ver.),"279,000"
"Thymesia (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","287,430"
"Rune Factory 4 Special (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","429,000"
